S.No,Type,Question,Question Image,Option a (Correct),Option b,Option c,Option d,
32,H,"Which two numbers are multiplied in this expression?4000 x 7 + 600 x 7 + 80 x 7 + 9 x 7",,4689 x 7,4680 x 9,4680 x 7,4600 x 9,
33,I,"If Luvyansh walks half a KM, Smriti walks three fourths of a KM and Aarav walks 5 KM then how many KM did they walk together?",,6 1/4,26/4,7 1/3,4/25,
34,I,"If Luvyansh walks half a KM, Smriti walks three fourths of a KM and Aarav walks 5 KM then how many KM did they walk together?",,6 1/4,26/4,7 1/3,4/25,
35,I,"If Luvyansh walks half a KM, Smriti walks three fourths of a KM and Aarav walks 5 KM then how many KM did they walk together?",,6 1/4,26/4,7 1/3,4/25,
36,I,"If Luvyansh walks half a KM, Smriti walks three fourths of a KM and Aarav walks 5 KM then how many KM did they walk together?",,6 1/4,26/4,7 1/3,4/25,
37,J,"Sum of 7085 and a number, formed by rearranging its digits is 7942. Find the number.",,587,8057,775,5087,
38,J,"Sum of 7085 and a number, formed by rearranging its digits is 7942. Find the number.",,587,8057,775,5087,
39,J,"Sum of 7085 and a number, formed by rearranging its digits is 7942. Find the number.",,587,8057,775,5087,
40,J,"Sum of 7085 and a number, formed by rearranging its digits is 7942. Find the number.",,587,8057,775,5087,
41,K,"In an exam, Togo's marks in Math, English and Science are 40, 25 and 30 respectively while Roxy's marks are 72, 56 and 80 respectively. If maximum marks per paper for Togo is 50 and for Roxy is 100, find out who secured better result.",,Roxy,Togo,Both are equal,Can not be determined,
42,K,"In an exam, Togo's marks in Math, English and Science are 40, 25 and 30 respectively while Roxy's marks are 72, 56 and 80 respectively. If maximum marks per paper for Togo is 50 and for Roxy is 100, find out who secured better result.",,Roxy,Togo,Both are equal,Can not be determined,
43,K,"In an exam, Togo's marks in Math, English and Science are 40, 25 and 30 respectively while Roxy's marks are 72, 56 and 80 respectively. If maximum marks per paper for Togo is 50 and for Roxy is 100, find out who secured better result.",,Roxy,Togo,Both are equal,Can not be determined,
44,K,"In an exam, Togo's marks in Math, English and Science are 40, 25 and 30 respectively while Roxy's marks are 72, 56 and 80 respectively. If maximum marks per paper for Togo is 50 and for Roxy is 100, find out who secured better result.",,Roxy,Togo,Both are equal,Can not be determined,
45,L,FGIJ is a square and HGI is an equilateral triangle. The lengths of the sides are equal. What is the value of x?,https://drive.google.com/file/d/0B1UBBfj0obqXRTNrS2h4NmRkd2M/view,150°,90°,60°,120°,
46,L,FGIJ is a square and HGI is an equilateral triangle. The lengths of the sides are equal. What is the value of x?,https://drive.google.com/file/d/0B1UBBfj0obqXRTNrS2h4NmRkd2M/view,150°,90°,60°,120°,
47,L,FGIJ is a square and HGI is an equilateral triangle. The lengths of the sides are equal. What is the value of x?,https://drive.google.com/file/d/0B1UBBfj0obqXRTNrS2h4NmRkd2M/view,150°,90°,60°,120°,
48,L,FGIJ is a square and HGI is an equilateral triangle. The lengths of the sides are equal. What is the value of x?,https://drive.google.com/file/d/0B1UBBfj0obqXRTNrS2h4NmRkd2M/view,150°,90°,60°,120°,
49,M,"The frequency table shows the colors that fifth graders preferred for their school shirts. Based on the data in the table, how many students preferred the three colors that had the highest frequencies?",https://drive.google.com/open?id=1uF-7-PBl3FROHDpihP_uK_B-zgBIPj-w,105,147,38,91,
50,M,"The frequency table shows the colors that fifth graders preferred for their school shirts. Based on the data in the table, how many students preferred the three colors that had the highest frequencies?",https://drive.google.com/open?id=1uF-7-PBl3FROHDpihP_uK_B-zgBIPj-w,105,147,38,91,
51,M,"The frequency table shows the colors that fifth graders preferred for their school shirts. Based on the data in the table, how many students preferred the three colors that had the highest frequencies?",https://drive.google.com/open?id=1uF-7-PBl3FROHDpihP_uK_B-zgBIPj-w,105,147,38,91,
52,M,"The frequency table shows the colors that fifth graders preferred for their school shirts. Based on the data in the table, how many students preferred the three colors that had the highest frequencies?",https://drive.google.com/open?id=1uF-7-PBl3FROHDpihP_uK_B-zgBIPj-w,105,147,38,91,
53,N,"Raunak's marks increased by 2% every year from Grade 1 to 10. If he scored 96% marks in grade 8, find out his marks in grade 1.",,82%,84%,80%,Can not be determined,
54,N,"Raunak's marks increased by 2% every year from Grade 1 to 10. If he scored 96% marks in grade 8, find out his marks in grade 1.",,82%,84%,80%,Can not be determined,
55,N,"Raunak's marks increased by 2% every year from Grade 1 to 10. If he scored 96% marks in grade 8, find out his marks in grade 1.",,82%,84%,80%,Can not be determined,
56,N,"Raunak's marks increased by 2% every year from Grade 1 to 10. If he scored 96% marks in grade 8, find out his marks in grade 1.",,82%,84%,80%,Can not be determined,
57,O,What is the difference between largest 4 digit number and smallest 3 digit number?,,9899,1,8989,0,
58,O,What is the difference between largest 4 digit number and smallest 3 digit number?,,9899,1,8989,0,
59,O,What is the difference between largest 4 digit number and smallest 3 digit number?,,9899,1,8989,0,
60,O,What is the difference between largest 4 digit number and smallest 3 digit number?,,9899,1,8989,0,
61,P,"A 3 hour long movie is being run at a theatre. If first show starts at 9 o'clock in the morning, at what time 4th show will end?",,9 o'clock at night,6 o'clock in evening,12 o'clock midnight,None of these,
62,P,"A 3 hour long movie is being run at a theatre. If first show starts at 9 o'clock in the morning, at what time 4th show will end?",,9 o'clock at night,6 o'clock in evening,12 o'clock midnight,None of these,
63,P,"A 3 hour long movie is being run at a theatre. If first show starts at 9 o'clock in the morning, at what time 4th show will end?",,9 o'clock at night,6 o'clock in evening,12 o'clock midnight,None of these,
64,P,"A 3 hour long movie is being run at a theatre. If first show starts at 9 o'clock in the morning, at what time 4th show will end?",,9 o'clock at night,6 o'clock in evening,12 o'clock midnight,None of these,
65,Q,"Price of a car in the year 2008 was Rs. 459645. its price in the year 2009 was increased by Rs. 64795. But, its price in the year 2010 was reduced by Rs. 45608. Find the price of thr car in the year 2010.",,478832,578832,524440,514444,
66,Q,"Price of a car in the year 2008 was Rs. 459645. its price in the year 2009 was increased by Rs. 64795. But, its price in the year 2010 was reduced by Rs. 45608. Find the price of thr car in the year 2010.",,478832,578832,524440,514444,
67,Q,"Price of a car in the year 2008 was Rs. 459645. its price in the year 2009 was increased by Rs. 64795. But, its price in the year 2010 was reduced by Rs. 45608. Find the price of thr car in the year 2010.",,478832,578832,524440,514444,
68,Q,"Price of a car in the year 2008 was Rs. 459645. its price in the year 2009 was increased by Rs. 64795. But, its price in the year 2010 was reduced by Rs. 45608. Find the price of thr car in the year 2010.",,478832,578832,524440,514444,
69,R,What should be added to 70 Tens to make it 98 Hundreds?,,9100,1900,28,910,
70,R,What should be added to 70 Tens to make it 98 Hundreds?,,9100,1900,28,910,
71,R,What should be added to 70 Tens to make it 98 Hundreds?,,9100,1900,28,910,
72,R,What should be added to 70 Tens to make it 98 Hundreds?,,9100,1900,28,910,
73,S,43 X 9000 + 64 X 8000 = ?,,899000,89900,8990,8990000,
74,S,43 X 9000 + 64 X 8000 = ?,,899000,89900,8990,8990000,
75,S,43 X 9000 + 64 X 8000 = ?,,899000,89900,8990,8990000,
76,S,43 X 9000 + 64 X 8000 = ?,,899000,89900,8990,8990000,
77,T,Sarthak’s Father tells him 5 stories in a week. How many stories will Zoka’s father tell to Zoka in 1 year?,,260 stories,300 Stories,52 stories,12 stories,
78,T,Sarthak’s Father tells him 5 stories in a week. How many stories will Zoka’s father tell to Zoka in 1 year?,,260 stories,300 Stories,52 stories,12 stories,
79,T,Sarthak’s Father tells him 5 stories in a week. How many stories will Zoka’s father tell to Zoka in 1 year?,,260 stories,300 Stories,52 stories,12 stories,
80,T,Sarthak’s Father tells him 5 stories in a week. How many stories will Zoka’s father tell to Zoka in 1 year?,,260 stories,300 Stories,52 stories,12 stories,
